t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.394386,-0.391943,2.546203,-0.394568,-0.392050,2.546203,0.018189,-4.000000,5.960420,-4.185921,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,-0.394895,-0.391549,2.417463,-0.394050,-0.393202,2.432407,0.027982,-4.000000,6.280000,-3.617124,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,-0.395531,-0.390911,2.293674,-0.393877,-0.394632,2.319003,0.036948,-4.000000,6.280000,-2.987532,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,-0.396127,-0.390151,2.177313,-0.393847,-0.396071,2.203055,0.044867,-3.901601,6.280000,-2.428354,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,-0.396802,-0.389055,2.068379,-0.393022,-0.395728,2.179758,0.051723,-3.471037,6.280000,-1.704096,66.837673,60.777962,61.547010,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,64.480769,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,-0.397442,-0.387720,1.966873,-0.392447,-0.395462,2.163412,0.057565,-3.070465,6.280000,-1.017736,67.055789,72.758449,82.275151,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,70.708803,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,-0.398038,-0.386087,1.875269,-0.392114,-0.395315,2.153782,0.062333,-2.709862,6.280000,-0.384175,71.162124,66.827330,80.684736,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,74.200379,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,-0.398539,-0.384222,1.791093,-0.392001,-0.395267,2.150401,0.066263,-2.378969,6.249591,0.215134,70.142569,69.067128,75.840760,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,74.774513,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,-0.398923,-0.382133,1.714344,-0.392096,-0.395305,2.152919,0.069449,-2.077674,6.022837,0.752639,63.284388,63.422670,88.228147,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,79.483285,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,-0.399167,-0.379958,1.649974,-0.392378,-0.395422,2.160697,0.071813,-1.825415,5.818244,1.187924,68.097866,69.419404,80.954644,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,79.998260,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
